,volume,volume_weight,open,close,high,low,date,no_of_trans
0,2238730404.0,133.5348,133.52,131.96,145.09,126.382,2021-01,17075275
1,1827023408.0,130.1083,133.75,121.26,137.877,118.39,2021-02,15767043
2,2647047412.0,121.7524,123.75,122.15,128.72,116.21,2021-03,20877126
3,1886622933.0,131.9442,123.66,131.46,137.07,122.49,2021-04,13223095
4,1710232209.0,126.7666,132.04,124.61,134.07,122.25,2021-05,12465468
5,1601166110.0,129.8586,125.08,136.96,137.41,123.13,2021-06,10602856
6,1916163513.0,145.1426,136.6,145.86,150.0,135.76,2021-07,13059366
7,1456728708.0,148.3574,146.36,151.83,153.49,144.5,2021-08,10397353
8,1805856668.0,148.2089,152.83,141.5,157.26,141.27,2021-09,13393590
9,1564134481.0,145.0703,141.9,149.8,153.165,138.27,2021-10,11286210
10,1689653061.0,155.7089,148.985,165.3,165.7,147.48,2021-11,12184722
11,2443713545.0,172.7308,167.48,177.57,182.13,157.8,2021-12,18079989
12,2108256045.0,169.2428,177.83,174.78,182.94,154.7,2022-01,18495191
13,1628175946.0,169.0412,174.01,165.12,176.65,152.0,2022-02,14036881
14,2177445433.0,164.825,164.695,174.61,179.61,150.1,2022-03,17562655
15,1686940185.0,166.6025,174.03,157.65,178.49,155.38,2022-04,14399715
16,1417022443.0,152.3377,156.71,149.24,166.48,138.8,2022-05,12230142
